T,AGF,Omega_peak,Total_Area
9.450000000000000000e+01,9.999922085447675579e-01,2.000082051810874617e+00,1.137623458236984516e+04
9.500000000000000000e+01,9.999961905235370541e-01,2.000080895251255875e+00,1.143636097669985611e+04
9.550000000000000000e+01,9.999884632449541622e-01,2.000079756794704622e+00,1.149648771643656983e+04
9.600000000000000000e+01,9.999922816667581316e-01,2.000078636065448556e+00,1.155661479612307994e+04
9.650000000000000000e+01,9.999958001394985141e-01,2.000077532697424498e+00,1.161674221041694364e+04
9.700000000000000000e+01,9.999943587167028358e-01,2.000076446333933333e+00,1.167686995408721123e+04
9.750000000000000000e+01,9.999937928230782092e-01,2.000075376627405088e+00,1.173699802201153943e+04
9.800000000000000000e+01,9.999884873914093308e-01,2.000074323239150242e+00,1.179712640917335921e+04
9.850000000000000000e+01,9.999977138168372193e-01,2.000073285838972925e+00,1.185725511065920000e+04
9.900000000000000000e+01,9.999916171005451826e-01,2.000072264105013264e+00,1.191738412165601585e+04
9.950000000000000000e+01,9.999969662153638250e-01,2.000071257723476492e+00,1.197751343744864425e+04
1.000000000000000000e+02,9.999839200368303427e-01,2.000070266388380702e+00,1.203764305341733780e+04
1.005000000000000000e+02,9.999978340829216439e-01,2.000069289801320593e+00,1.209777296503533580e+04
1.010000000000000000e+02,9.999889771791965476e-01,2.000068327671247204e+00,1.215790316786658150e+04
1.015000000000000000e+02,9.999980300968184244e-01,2.000067379714266735e+00,1.221803365756340463e+04
1.020000000000000000e+02,9.999804526427655826e-01,2.000066445653412739e+00,1.227816442986437505e+04
1.025000000000000000e+02,9.999970402612479159e-01,2.000065525218448492e+00,1.233829548059214903e+04
1.030000000000000000e+02,9.999878527481911306e-01,2.000064618145676487e+00,1.239842680565140472e+04
1.035000000000000000e+02,9.999979569805343971e-01,2.000063724177744806e+00,1.245855840102685033e+04
1.040000000000000000e+02,9.999798679312696947e-01,2.000062843063467266e+00,1.251869026278128149e+04
1.045000000000000000e+02,9.999962268476799698e-01,2.000061974557645339e+00,1.257882238705365489e+04
1.050000000000000000e+02,9.999890291165624001e-01,2.000061118420902950e+00,1.263895477005730208e+04
1.055000000000000000e+02,9.999976072494023427e-01,2.000060274419504847e+00,1.269908740807811228e+04
1.060000000000000000e+02,9.999826553580778432e-01,2.000059442325222925e+00,1.275922029747282068e+04
1.065000000000000000e+02,9.999954737402558802e-01,2.000058621915162593e+00,1.281935343466729682e+04
1.070000000000000000e+02,9.999920249100915370e-01,2.000057812971621551e+00,1.287948681615496935e+04
1.075000000000000000e+02,9.999970696089125477e-01,2.000057015281937023e+00,1.293962043849517613e+04
1.080000000000000000e+02,9.999876564318901373e-01,2.000056228638367184e+00,1.299975429831163638e+04
1.085000000000000000e+02,9.999940554668549364e-01,2.000055452837937509e+00,1.305988839229098812e+04
1.090000000000000000e+02,9.999953719952703324e-01,2.000054687682281784e+00,1.312002271718127304e+04
1.095000000000000000e+02,9.999958747819051030e-01,2.000053932977601256e+00,1.318015726979055762e+04
1.100000000000000000e+02,9.999928194644065460e-01,2.000053188534458126e+00,1.324029204698554713e+04
1.105000000000000000e+02,9.999912652066147434e-01,2.000052454167675631e+00,1.330042704569023226e+04
1.110000000000000000e+02,9.999976078465744322e-01,2.000051729696255443e+00,1.336056226288459220e+04
1.115000000000000000e+02,9.999937721389485779e-01,2.000051014943237337e+00,1.342069769560333043e+04
1.120000000000000000e+02,9.999964489615610352e-01,2.000050309735593945e+00,1.348083334093462872e+04
1.125000000000000000e+02,9.999873346172222233e-01,2.000049613904141044e+00,1.354096919601895934e+04
1.130000000000000000e+02,9.999981871538375922e-01,2.000048927283430089e+00,1.360110525804789177e+04
1.135000000000000000e+02,9.999913121186843057e-01,2.000048249711617210e+00,1.366124152426299406e+04
1.140000000000000000e+02,9.999980632518006285e-01,2.000047581030423682e+00,1.372137799195468688e+04
1.145000000000000000e+02,9.999836322386620457e-01,2.000046921085002705e+00,1.378151465846119208e+04
1.150000000000000000e+02,9.999976264795098491e-01,2.000046269723874559e+00,1.384165152116746322e+04
1.155000000000000000e+02,9.999896807609045535e-01,2.000045626798820475e+00,1.390178857750417592e+04
1.160000000000000000e+02,9.999982857462909047e-01,2.000044992164824009e+00,1.396192582494671296e+04
1.165000000000000000e+02,9.999819217997020226e-01,2.000044365679912506e+00,1.402206326101424929e+04
1.170000000000000000e+02,9.999968224598202449e-01,2.000043747205232592e+00,1.408220088326872610e+04
1.175000000000000000e+02,9.999898862149730894e-01,2.000043136604787719e+00,1.414233868931399411e+04
1.180000000000000000e+02,9.999980219085602418e-01,2.000042533745503004e+00,1.420247667679489314e+04
1.185000000000000000e+02,9.999832084323942993e-01,2.000041938497077787e+00,1.426261484339636809e+04
1.190000000000000000e+02,9.999961766814294828e-01,2.000041350731992740e+00,1.432275318684265585e+04
1.195000000000000000e+02,9.999919727195883956e-01,2.000040770325312689e+00,1.438289170489641401e+04
1.200000000000000000e+02,9.999976545408399975e-01,2.000040197154746124e+00,1.444303039535792777e+04
1.205000000000000000e+02,9.999870415682279301e-01,2.000039631100520410e+00,1.450316925606431687e+04
1.210000000000000000e+02,9.999952612431048937e-01,2.000039072045330713e+00,1.456330828488879888e+04
1.215000000000000000e+02,9.999949227101982974e-01,2.000038519874278276e+00,1.462344747973987069e+04
1.220000000000000000e+02,9.999969060828076683e-01,2.000037974474811797e+00,1.468358683856066637e+04
1.225000000000000000e+02,9.999918022532842121e-01,2.000037435736672364e+00,1.474372635932816047e+04
1.230000000000000000e+02,9.999933128141776928e-01,2.000036903551834389e+00,1.480386604005253866e+04
1.235000000000000000e+02,9.999973370871956257e-01,2.000036377814451871e+00,1.486400587877645921e+04
1.240000000000000000e+02,9.999953858184420508e-01,2.000035858420803336e+00,1.492414587357446726e+04
1.245000000000000000e+02,9.999957205682197259e-01,2.000035345269260745e+00,1.498428602255226178e+04
1.250000000000000000e+02,9.999901177173160516e-01,2.000034838260205117e+00,1.504442632384613535e+04
1.255000000000000000e+02,9.999983559629175289e-01,2.000034337296004328e+00,1.510456677562233017e+04
1.260000000000000000e+02,9.999932604379576651e-01,2.000033842280954932e+00,1.516470737607642877e+04
1.265000000000000000e+02,9.999978787628250876e-01,2.000033353121242641e+00,1.522484812343279191e+04
1.270000000000000000e+02,9.999865162547486586e-01,2.000032869724898354e+00,1.528498901594398376e+04
1.275000000000000000e+02,9.999981053036520739e-01,2.000032392001737325e+00,1.534513005189020078e+04
1.280000000000000000e+02,9.999914037248764931e-01,2.000031919863345831e+00,1.540527122957871325e+04
1.285000000000000000e+02,9.999984860645717566e-01,2.000031453223021227e+00,1.546541254734339600e+04
1.290000000000000000e+02,9.999840662408923109e-01,2.000030991995731089e+00,1.552555400354411540e+04
1.295000000000000000e+02,9.999973566197034591e-01,2.000030536098096334e+00,1.558569559656631100e+04
1.300000000000000000e+02,9.999908665512273753e-01,2.000030085448321060e+00,1.564583732482045161e+04
1.305000000000000000e+02,9.999983500908740108e-01,2.000029639966174777e+00,1.570597918674155153e+04
1.310000000000000000e+02,9.999840700076493283e-01,2.000029199572960881e+00,1.576612118078872118e+04
1.315000000000000000e+02,9.999967165067152886e-01,2.000028764191472685e+00,1.582626330544467965e+04
1.320000000000000000e+02,9.999920917841522705e-01,2.000028333745960119e+00,1.588640555921532359e+04
1.325000000000000000e+02,9.999980648383075543e-01,2.000027908162094192e+00,1.594654794062928340e+04
1.330000000000000000e+02,9.999866939665995602e-01,2.000027487366949686e+00,1.600669044823746481e+04
1.335000000000000000e+02,9.999960808169540138e-01,2.000027071288955849e+00,1.606683308061268326e+04
1.340000000000000000e+02,9.999945222025115044e-01,2.000026659857878197e+00,1.612697583634919829e+04
1.345000000000000000e+02,9.999975980574408174e-01,2.000026253004780763e+00,1.618711871406231694e+04
1.350000000000000000e+02,9.999908379403290581e-01,2.000025850662004334e+00,1.624726171238805546e+04
1.355000000000000000e+02,9.999947832177007445e-01,2.000025452763132705e+00,1.630740482998268089e+04
1.360000000000000000e+02,9.999969528854680823e-01,2.000025059242969139e+00,1.636754806552238733e+04
1.365000000000000000e+02,9.999965633701801693e-01,2.000024670037506613e+00,1.642769141770290298e+04
1.370000000000000000e+02,9.999948412702746037e-01,2.000024285083904729e+00,1.648783488523912820e+04
1.375000000000000000e+02,9.999923297885937590e-01,2.000023904320461288e+00,1.654797846686481716e+04
1.380000000000000000e+02,9.999983452525788019e-01,2.000023527686592306e+00,1.660812216133217225e+04
1.385000000000000000e+02,9.999948464919359292e-01,2.000023155122796492e+00,1.666826596741160029e+04
1.390000000000000000e+02,9.999974793808700246e-01,2.000022786570652134e+00,1.672840988389127597e+04
1.395000000000000000e+02,9.999890714270325276e-01,2.000022421972774911e+00,1.678855390957688724e+04
1.400000000000000000e+02,9.999984616936480331e-01,2.000022061272801466e+00,1.684869804329133694e+04
1.405000000000000000e+02,9.999929880634945700e-01,2.000021704415370749e+00,1.690884228387434632e+04
1.410000000000000000e+02,9.999985381734166623e-01,2.000021351346106702e+00,1.696898663018226216e+04
1.415000000000000000e+02,9.999862338324867483e-01,2.000021002011594717e+00,1.702913108108768938e+04
1.420000000000000000e+02,9.999978406384704144e-01,2.000020656359314586e+00,1.708927563547921091e+04
1.425000000000000000e+02,9.999919418962717188e-01,2.000020314337747518e+00,1.714942029226113300e+04
1.430000000000000000e+02,9.999986052156337735e-01,2.000019975896182967e+00,1.720956505035318696e+04
1.435000000000000000e+02,9.999852143873211308e-01,2.000019640984878500e+00,1.726970990869026718e+04
1.440000000000000000e+02,9.999971765726618500e-01,2.000019309554867952e+00,1.732985486622214012e+04
1.445000000000000000e+02,9.999923981478986423e-01,2.000018981558115527e+00,1.738999992191325146e+04
1.450000000000000000e+02,9.999983756016384007e-01,2.000018656947327056e+00,1.745014507474239508e+04
1.455000000000000000e+02,9.999866601338510685e-01,2.000018335676103209e+00,1.751029032370249115e+04
