epsilon,gamma_t,AGF
-9.183673469387755584e-02,3.906939937054620948e-02,9.657134580867878793e-01
-9.183673469387755584e-02,4.941713361323837872e-02,9.573315848019465779e-01
-9.183673469387755584e-02,6.250551925273975518e-02,9.469267727412505886e-01
-9.183673469387755584e-02,7.906043210907701124e-02,9.340729576766882980e-01
-9.183673469387755584e-02,1.000000000000000056e-01,9.182889418248635360e-01
-8.775510204081632404e-02,9.999999999999999547e-07,9.988246406655904019e-01
-8.775510204081632404e-02,1.264855216855295881e-06,9.988244087669919669e-01
-8.775510204081632404e-02,1.599858719606057360e-06,9.988241163278409607e-01
-8.775510204081632404e-02,2.023589647725155726e-06,9.988237459619817571e-01
-8.775510204081632404e-02,2.559547922699533382e-06,9.988232875043736581e-01
-8.775510204081632404e-02,3.237457542817646685e-06,9.988226904707800946e-01
-8.775510204081632404e-02,4.094915062380427237e-06,9.988219423328250635e-01
-8.775510204081632404e-02,5.179474679231212330e-06,9.988210009495988029e-01
-8.775510204081632404e-02,6.551285568595509496e-06,9.988198048695047238e-01
-8.775510204081632404e-02,8.286427728546842542e-06,9.988183008693610754e-01
-8.775510204081632404e-02,1.048113134154685250e-05,9.988163886074360454e-01
-8.775510204081632404e-02,1.325711365590110898e-05,9.988139729469238670e-01
-8.775510204081632404e-02,1.676832936811009972e-05,9.988109178954289735e-01
-8.775510204081632404e-02,2.120950887920192640e-05,9.988070530557446869e-01
-8.775510204081632404e-02,2.682695795279727390e-05,9.988021636872826958e-01
-8.775510204081632404e-02,3.393221771895329857e-05,9.987959778228089336e-01
-8.775510204081632404e-02,4.291934260128778017e-05,9.987881599808217103e-01
-8.775510204081632404e-02,5.428675439323859403e-05,9.987782651204516471e-01
-8.775510204081632404e-02,6.866488450042998925e-05,9.987657543970956953e-01
-8.775510204081632404e-02,8.685113737513520580e-05,9.987499321095016924e-01
-8.775510204081632404e-02,1.098541141987558346e-04,9.987299171036461143e-01
-8.775510204081632404e-02,1.389495494373137348e-04,9.987046043417143748e-01
-8.775510204081632404e-02,1.757510624854793067e-04,9.986725833024060472e-01
-8.775510204081632404e-02,2.222996482526195465e-04,9.986320910423823749e-01
-8.775510204081632404e-02,2.811768697974231118e-04,9.985808712448150937e-01
-8.775510204081632404e-02,3.556480306223128661e-04,9.985160996083236595e-01
-8.775510204081632404e-02,4.498432668969443876e-04,9.984341789485969842e-01
-8.775510204081632404e-02,5.689866029018298636e-04,9.983305826173540787e-01
-8.775510204081632404e-02,7.196856730011521675e-04,9.981995799672921388e-01
-8.775510204081632404e-02,9.102981779915217267e-04,9.980339190941647232e-01
-8.775510204081632404e-02,1.151395399326448146e-03,9.978244631555004407e-01
-8.775510204081632404e-02,1.456348477501244378e-03,9.975596452770194578e-01
-8.775510204081632404e-02,1.842069969326716331e-03,9.972248821737830227e-01
-8.775510204081632404e-02,2.329951810515372077e-03,9.968017516426996849e-01
-8.775510204081632404e-02,2.947051702551809708e-03,9.962670452561205314e-01
-8.775510204081632404e-02,3.727593720314941773e-03,9.955914837334104428e-01
-8.775510204081632404e-02,4.714866363457394238e-03,9.947382366758388272e-01
-8.775510204081632404e-02,5.963623316594642357e-03,9.936609671315553838e-01
-8.775510204081632404e-02,7.543120063354623143e-03,9.923015253350045972e-01
-8.775510204081632404e-02,9.540954763499944619e-03,9.905870413481426828e-01
-8.775510204081632404e-02,1.206792640639328847e-02,9.884264473705728360e-01
-8.775510204081632404e-02,1.526417967175233356e-02,9.857063252329163472e-01
-8.775510204081632404e-02,1.930697728883249559e-02,9.822859671061040521e-01
-8.775510204081632404e-02,2.442053094548649744e-02,9.779917300114288059e-01
-8.775510204081632404e-02,3.088843596477484910e-02,9.726108509918210965e-01
-8.775510204081632404e-02,3.906939937054620948e-02,9.658848361482214040e-01
-8.775510204081632404e-02,4.941713361323837872e-02,9.575032300956491937e-01
-8.775510204081632404e-02,6.250551925273975518e-02,9.470987099072616378e-01
-8.775510204081632404e-02,7.906043210907701124e-02,9.342451725924663108e-01
-8.775510204081632404e-02,1.000000000000000056e-01,9.184613933270330266e-01
-8.367346938775510612e-02,9.999999999999999547e-07,9.989727631232239169e-01
-8.367346938775510612e-02,1.264855216855295881e-06,9.989725324375930970e-01
-8.367346938775510612e-02,1.599858719606057360e-06,9.989722423748957914e-01
-8.367346938775510612e-02,2.023589647725155726e-06,9.989718741744481045e-01
-8.367346938775510612e-02,2.559547922699533382e-06,9.989714061514007870e-01
-8.367346938775510612e-02,3.237457542817646685e-06,9.989708177867653305e-01
-8.367346938775510612e-02,4.094915062380427237e-06,9.989700684750257853e-01
-8.367346938775510612e-02,5.179474679231212330e-06,9.989691297698114480e-01
-8.367346938775510612e-02,6.551285568595509496e-06,9.989679361851239170e-01
-8.367346938775510612e-02,8.286427728546842542e-06,9.989664244880800403e-01
-8.367346938775510612e-02,1.048113134154685250e-05,9.989645133007991618e-01
-8.367346938775510612e-02,1.325711365590110898e-05,9.989620984335997322e-01
-8.367346938775510612e-02,1.676832936811009972e-05,9.989590431502186618e-01
-8.367346938775510612e-02,2.120950887920192640e-05,9.989551800830085426e-01
-8.367346938775510612e-02,2.682695795279727390e-05,9.989502921729426221e-01
-8.367346938775510612e-02,3.393221771895329857e-05,9.989441166406186623e-01
-8.367346938775510612e-02,4.291934260128778017e-05,9.989362915626698314e-01
-8.367346938775510612e-02,5.428675439323859403e-05,9.989263989370065211e-01
-8.367346938775510612e-02,6.866488450042998925e-05,9.989138864223747749e-01
-8.367346938775510612e-02,8.685113737513520580e-05,9.988980671161716840e-01
-8.367346938775510612e-02,1.098541141987558346e-04,9.988780509873300684e-01
-8.367346938775510612e-02,1.389495494373137348e-04,9.988527371465049098e-01
-8.367346938775510612e-02,1.757510624854793067e-04,9.988207259854253728e-01
-8.367346938775510612e-02,2.222996482526195465e-04,9.987802320955058155e-01
-8.367346938775510612e-02,2.811768697974231118e-04,9.987290227168236223e-01
-8.367346938775510612e-02,3.556480306223128661e-04,9.986642562922832811e-01
-8.367346938775510612e-02,4.498432668969443876e-04,9.985823423171338309e-01
-8.367346938775510612e-02,5.689866029018298636e-04,9.984787555592375963e-01
-8.367346938775510612e-02,7.196856730011521675e-04,9.983477607337601922e-01
-8.367346938775510612e-02,9.102981779915217267e-04,9.981821168229465524e-01
-8.367346938775510612e-02,1.151395399326448146e-03,9.979726784578784038e-01
-8.367346938775510612e-02,1.456348477501244378e-03,9.977078852163023814e-01
-8.367346938775510612e-02,1.842069969326716331e-03,9.973731525894181660e-01
-8.367346938775510612e-02,2.329951810515372077e-03,9.969500630474804614e-01
-8.367346938775510612e-02,2.947051702551809708e-03,9.964153994832121164e-01
-8.367346938775510612e-02,3.727593720314941773e-03,9.957398998873044915e-01
-8.367346938775510612e-02,4.714866363457394238e-03,9.948867264897200968e-01
-8.367346938775510612e-02,5.963623316594642357e-03,9.938095502483025312e-01
-8.367346938775510612e-02,7.543120063354623143e-03,9.924502255351054236e-01
-8.367346938775510612e-02,9.540954763499944619e-03,9.907358897260161168e-01
-8.367346938775510612e-02,1.206792640639328847e-02,9.885754830772719437e-01
-8.367346938775510612e-02,1.526417967175233356e-02,9.858555839226198492e-01
-8.367346938775510612e-02,1.930697728883249559e-02,9.824354898991942697e-01
-8.367346938775510612e-02,2.442053094548649744e-02,9.781415880791546336e-01
-8.367346938775510612e-02,3.088843596477484910e-02,9.727611066087824554e-01
-8.367346938775510612e-02,3.906939937054620948e-02,9.660355499913013677e-01
-8.367346938775510612e-02,4.941713361323837872e-02,9.576544638017208122e-01
-8.367346938775510612e-02,6.250551925273975518e-02,9.472505097533663321e-01
-8.367346938775510612e-02,7.906043210907701124e-02,9.343975450655176429e-01
-8.367346938775510612e-02,1.000000000000000056e-01,9.186142599017678156e-01
-7.959183673469388820e-02,9.999999999999999547e-07,9.991015744754149219e-01
-7.959183673469388820e-02,1.264855216855295881e-06,9.991013401330011146e-01
-7.959183673469388820e-02,1.599858719606057360e-06,9.991010522623988699e-01
-7.959183673469388820e-02,2.023589647725155726e-06,9.991006821296637419e-01
-7.959183673469388820e-02,2.559547922699533382e-06,9.991002173926790686e-01
-7.959183673469388820e-02,3.237457542817646685e-06,9.990996254731964177e-01
-7.959183673469388820e-02,4.094915062380427237e-06,9.990988768149466903e-01
-7.959183673469388820e-02,5.179474679231212330e-06,9.990979343633199505e-01
-7.959183673469388820e-02,6.551285568595509496e-06,9.990967441000233595e-01
-7.959183673469388820e-02,8.286427728546842542e-06,9.990952345267792856e-01
-7.959183673469388820e-02,1.048113134154685250e-05,9.990933253476609321e-01
-7.959183673469388820e-02,1.325711365590110898e-05,9.990909140966256485e-01
-7.959183673469388820e-02,1.676832936811009972e-05,9.990878552404693913e-01
-7.959183673469388820e-02,2.120950887920192640e-05,9.990839892634609809e-01
-7.959183673469388820e-02,2.682695795279727390e-05,9.990791013412489985e-01
-7.959183673469388820e-02,3.393221771895329857e-05,9.990729213685497490e-01
-7.959183673469388820e-02,4.291934260128778017e-05,9.990651027580554899e-01
-7.959183673469388820e-02,5.428675439323859403e-05,9.990552104078145312e-01
-7.959183673469388820e-02,6.866488450042998925e-05,9.990427020344998521e-01
-7.959183673469388820e-02,8.685113737513520580e-05,9.990268870236382881e-01
-7.959183673469388820e-02,1.098541141987558346e-04,9.990068726073004779e-01
-7.959183673469388820e-02,1.389495494373137348e-04,9.989815648126474379e-01
-7.959183673469388820e-02,1.757510624854793067e-04,9.989495527808486264e-01
-7.959183673469388820e-02,2.222996482526195465e-04,9.989090617068369093e-01
-7.959183673469388820e-02,2.811768697974231118e-04,9.988578583473717298e-01
-7.959183673469388820e-02,3.556480306223128661e-04,9.987931007958892327e-01
-7.959183673469388820e-02,4.498432668969443876e-04,9.987111966471746705e-01
-7.959183673469388820e-02,5.689866029018298636e-04,9.986076230255310771e-01
-7.959183673469388820e-02,7.196856730011521675e-04,9.984766425498460274e-01
-7.959183673469388820e-02,9.102981779915217267e-04,9.983110216994702801e-01
-7.959183673469388820e-02,1.151395399326448146e-03,9.981016061752353563e-01
-7.959183673469388820e-02,1.456348477501244378e-03,9.978368440175721110e-01
-7.959183673469388820e-02,1.842069969326716331e-03,9.975021494547625656e-01
-7.959183673469388820e-02,2.329951810515372077e-03,9.970791091753059554e-01
-7.959183673469388820e-02,2.947051702551809708e-03,9.965445064376794448e-01
-7.959183673469388820e-02,3.727593720314941773e-03,9.958690862994821202e-01
-7.959183673469388820e-02,4.714866363457394238e-03,9.950160136136144695e-01
-7.959183673469388820e-02,5.963623316594642357e-03,9.939389623457504097e-01
-7.959183673469388820e-02,7.543120063354623143e-03,9.925797926074045874e-01
-7.959183673469388820e-02,9.540954763499944619e-03,9.908656421888405452e-01
-7.959183673469388820e-02,1.206792640639328847e-02,9.887054743554543057e-01
-7.959183673469388820e-02,1.526417967175233356e-02,9.859858676150901058e-01
-7.959183673469388820e-02,1.930697728883249559e-02,9.825661319637798430e-01
