T,AGF,Avg_Leakage
1.030000000000000000e+02,9.999878579760521635e-01,1.214183561382142784e-05
1.035000000000000000e+02,9.999979581297570030e-01,2.041866297819439069e-06
1.040000000000000000e+02,9.999798678275861885e-01,2.013163975211895718e-05
1.045000000000000000e+02,9.999962264709054693e-01,3.773512152416280685e-06
1.050000000000000000e+02,9.999890343790731606e-01,1.096547331180808271e-05
1.055000000000000000e+02,9.999976084757881134e-01,2.391518375999268642e-06
1.060000000000000000e+02,9.999826537763842893e-01,1.734582952228613806e-05
1.065000000000000000e+02,9.999954733228711978e-01,4.526634463264400665e-06
1.070000000000000000e+02,9.999920287790177165e-01,7.971147936713940396e-06
1.075000000000000000e+02,9.999970711914242250e-01,2.928792746326180918e-06
1.080000000000000000e+02,9.999876562151392978e-01,1.234358715485051050e-05
1.085000000000000000e+02,9.999940550372050652e-01,5.944874423291501842e-06
1.090000000000000000e+02,9.999953745054315224e-01,4.625472540320529902e-06
1.095000000000000000e+02,9.999958768081873561e-01,4.123155308399795160e-06
1.100000000000000000e+02,9.999928187387865375e-01,7.181195339267532063e-06
1.105000000000000000e+02,9.999912648649518232e-01,8.734983239611082695e-06
1.110000000000000000e+02,9.999976087662668656e-01,2.391227656550753977e-06
1.115000000000000000e+02,9.999937747783030906e-01,6.225154939309973656e-06
1.120000000000000000e+02,9.999964490564796638e-01,3.550927570761253094e-06
1.125000000000000000e+02,9.999873343186239660e-01,1.266543622757687615e-05
1.130000000000000000e+02,9.999981868022234099e-01,1.813193875044305514e-06
1.135000000000000000e+02,9.999913162784000997e-01,8.683615046911619118e-06
1.140000000000000000e+02,9.999980635016803010e-01,1.936493559839824741e-06
1.145000000000000000e+02,9.999836318829882220e-01,1.636775432700687816e-05
1.150000000000000000e+02,9.999976257511423716e-01,2.374244048586326983e-06
1.155000000000000000e+02,9.999896852412458736e-01,1.031462122336179732e-05
1.160000000000000000e+02,9.999982866302769002e-01,1.713366585276432374e-06
1.165000000000000000e+02,9.999819216162008084e-01,1.807795460651018260e-05
1.170000000000000000e+02,9.999968217744568122e-01,3.178215594923372578e-06
1.175000000000000000e+02,9.999898904268731403e-01,1.010944668422553150e-05
1.180000000000000000e+02,9.999980233610363811e-01,1.976635479516986038e-06
1.185000000000000000e+02,9.999832076284403959e-01,1.679200305160222229e-05
1.190000000000000000e+02,9.999961768885201607e-01,3.823086275445142235e-06
1.195000000000000000e+02,9.999919762789033495e-01,8.023645779342558626e-06
1.200000000000000000e+02,9.999976560796468572e-01,2.343912201330233813e-06
1.205000000000000000e+02,9.999870406447113336e-01,1.295913713961205360e-05
1.210000000000000000e+02,9.999952608491895489e-01,4.739094294992085565e-06
1.215000000000000000e+02,9.999949250835472592e-01,5.074889303902097026e-06
1.220000000000000000e+02,9.999969075633969862e-01,3.092415676086979204e-06
1.225000000000000000e+02,9.999918013265963745e-01,8.198587328478446068e-06
1.230000000000000000e+02,9.999933126682810647e-01,6.687230174495795154e-06
1.235000000000000000e+02,9.999973376933979363e-01,2.662299656064348596e-06
1.240000000000000000e+02,9.999953882653438431e-01,4.611693637301961246e-06
1.245000000000000000e+02,9.999957201408381513e-01,4.279836055331998068e-06
1.250000000000000000e+02,9.999901166905470484e-01,9.883144912237185054e-06
