T,AGF,Avg_Leakage,Unitary_Error
9.000000000000000000e+01,9.999856420887311970e-01,1.435784566780617943e-05,2.464870081797521095e-05
9.050000000000000000e+01,9.999949420835267944e-01,5.057891171611483827e-06,1.096340110628979403e-05
9.100000000000000000e+01,9.999999342138421454e-01,6.578615388552755405e-08,1.692590727575549181e-07
9.150000000000000000e+01,9.999890753577634905e-01,1.092452608106309064e-05,2.545987976421137944e-05
9.200000000000000000e+01,9.999842588669022314e-01,1.574103451151831479e-05,2.992231823495394849e-05
9.250000000000000000e+01,9.999943446653365431e-01,5.655297350692922720e-06,1.146315937328168388e-05
9.300000000000000000e+01,9.999994748368926656e-01,5.251629177915884128e-07,1.214807643368231993e-06
9.350000000000000000e+01,9.999921006028161807e-01,7.899333413635689638e-06,1.797944072712276409e-05
9.400000000000000000e+01,9.999833610431666520e-01,1.663877574206718002e-05,3.783495981379836337e-05
9.450000000000000000e+01,9.999936015484551799e-01,6.398403285229337101e-06,1.290661165476159056e-05
9.500000000000000000e+01,9.999987553186379108e-01,1.244680709139300845e-06,2.422890348241502068e-06
9.550000000000000000e+01,9.999948641271471095e-01,5.135846943338240322e-06,1.191290500135444574e-05
9.600000000000000000e+01,9.999831301008168527e-01,1.686964634067811275e-05,4.301175427956493991e-05
9.650000000000000000e+01,9.999926280402895440e-01,7.371904600206313773e-06,1.584354231320972417e-05
9.700000000000000000e+01,9.999979635280270562e-01,2.036470667321488293e-06,3.381440387695278105e-06
9.750000000000000000e+01,9.999971292305899206e-01,2.870761953793765642e-06,7.008691385701482091e-06
9.800000000000000000e+01,9.999836640080654870e-01,1.633573563883383706e-05,4.363964961417998722e-05
9.850000000000000000e+01,9.999914009316549501e-01,8.599009715143379751e-06,1.952175557107249659e-05
9.900000000000000000e+01,9.999972281317497380e-01,2.771864909656418519e-06,5.743878222830289815e-06
9.950000000000000000e+01,9.999987500472615753e-01,1.249951353032852097e-06,3.230553654365309058e-06
1.000000000000000000e+02,9.999849579147639389e-01,1.504187866491202286e-05,3.977573018909552616e-05
1.005000000000000000e+02,9.999899749514629121e-01,1.002499256261280003e-05,2.214693163027359191e-05
1.010000000000000000e+02,9.999966032596802057e-01,3.396732643906608118e-06,7.698234850916918504e-06
1.015000000000000000e+02,9.999996869931759846e-01,3.130067319778717660e-07,8.364506836056051498e-07
1.020000000000000000e+02,9.999868976636239193e-01,1.310218460709444699e-05,3.303875570981329446e-05
1.025000000000000000e+02,9.999884804285745776e-01,1.151952404049305656e-05,2.196763950568225710e-05
