T,AGF,Avg_Leakage
8.900000000000000000e+01,9.999998769816000888e-01,1.230183739320267478e-07
8.950000000000000000e+01,9.999612504569430627e-01,3.874732866693264555e-05
9.000000000000000000e+01,9.999824013581001259e-01,1.759830426162345418e-05
9.050000000000000000e+01,9.999939847599887965e-01,6.015216172938764316e-06
9.100000000000000000e+01,9.999999216592134754e-01,7.834077342394607513e-08
9.150000000000000000e+01,9.999653730867281709e-01,3.462514372809533114e-05
9.200000000000000000e+01,9.999832395848015087e-01,1.675994312155815180e-05
9.250000000000000000e+01,9.999941795598512595e-01,5.820403703449272825e-06
9.300000000000000000e+01,9.999994641760647784e-01,5.358232894048242656e-07
9.350000000000000000e+01,9.999737710017754244e-01,2.622798062223985482e-05
9.400000000000000000e+01,9.999831211289798016e-01,1.687823809271016273e-05
9.450000000000000000e+01,9.999934836692677687e-01,6.516283200697081668e-06
9.500000000000000000e+01,9.999986917307586154e-01,1.308266232347143898e-06
9.550000000000000000e+01,9.999835642294259141e-01,1.643537169415676402e-05
9.600000000000000000e+01,9.999804233209470539e-01,1.957586376977182852e-05
9.650000000000000000e+01,9.999913985714605769e-01,8.601377060601933522e-06
9.700000000000000000e+01,9.999975446779998389e-01,2.455315097016352865e-06
9.750000000000000000e+01,9.999918507151196456e-01,8.149186988326562187e-06
9.800000000000000000e+01,9.999752289141600192e-01,2.477001209544305027e-05
9.850000000000000000e+01,9.999884778223375736e-01,1.152210479993254211e-05
9.900000000000000000e+01,9.999962371998725175e-01,3.762789099415186911e-06
9.950000000000000000e+01,9.999970950552927729e-01,2.904932077107957866e-06
1.000000000000000000e+02,9.999695671882381509e-01,3.043138441305437425e-05
1.005000000000000000e+02,9.999860182845466960e-01,1.398158670040672291e-05
1.010000000000000000e+02,9.999952785110300946e-01,4.721475843849631815e-06
1.015000000000000000e+02,9.999994429013270292e-01,5.570981742586411656e-07
1.020000000000000000e+02,9.999663229157398359e-01,3.367540546139746738e-05
1.025000000000000000e+02,9.999850611098226594e-01,1.493868546054155644e-05
1.030000000000000000e+02,9.999950108823705275e-01,4.989103413843842816e-06
1.035000000000000000e+02,9.999999979679948803e-01,2.032005230745426161e-09
1.040000000000000000e+02,9.999675402623464660e-01,3.245818434749470072e-05
1.045000000000000000e+02,9.999854587361497460e-01,1.454096801156712360e-05
1.050000000000000000e+02,9.999951685795755996e-01,4.831399832427862862e-06
1.055000000000000000e+02,9.999998053694862943e-01,1.946304281075228459e-07
1.060000000000000000e+02,9.999732348945805649e-01,2.676404632950823981e-05
1.065000000000000000e+02,9.999858229014645383e-01,1.417668771597213606e-05
1.070000000000000000e+02,9.999949508593607428e-01,5.049110047172788995e-06
1.075000000000000000e+02,9.999993046296783428e-01,6.953693398870086639e-07
1.080000000000000000e+02,9.999814743544721551e-01,1.852513812106160174e-05
1.085000000000000000e+02,9.999844466795337894e-01,1.555277717624203859e-05
1.090000000000000000e+02,9.999936522726589061e-01,6.347692246055913756e-06
1.095000000000000000e+02,9.999984900523537501e-01,1.509944494215709199e-06
1.100000000000000000e+02,9.999895664687858954e-01,1.043337074835282152e-05
1.105000000000000000e+02,9.999806340223436063e-01,1.936526409007655047e-05
1.110000000000000000e+02,9.999913178968820038e-01,8.682060289477711024e-06
1.115000000000000000e+02,9.999974044885631130e-01,2.595505316227431081e-06
1.120000000000000000e+02,9.999955022114012104e-01,4.497758630650494638e-06
1.125000000000000000e+02,9.999754281816153334e-01,2.457084861351432892e-05
1.130000000000000000e+02,9.999888434592006936e-01,1.115646712013251829e-05
1.135000000000000000e+02,9.999963903280371103e-01,3.609663439263499640e-06
1.140000000000000000e+02,9.999987194208209695e-01,1.280576644058228908e-06
1.145000000000000000e+02,9.999711825379788976e-01,2.881622015660223468e-05
1.150000000000000000e+02,9.999873361587207077e-01,1.266371525354692551e-05
1.155000000000000000e+02,9.999958635614649705e-01,4.136429148093867525e-06
1.160000000000000000e+02,9.999998687131158581e-01,1.312868538327904844e-07
1.165000000000000000e+02,9.999702161218048113e-01,2.978257040153753366e-05
1.170000000000000000e+02,9.999871922435732419e-01,1.280756641786062744e-05
1.175000000000000000e+02,9.999958625394353984e-01,4.137448511132291173e-06
1.180000000000000000e+02,9.999999683139300100e-01,3.168606765857617802e-08
1.185000000000000000e+02,9.999734520034249119e-01,2.654695565618148123e-05
1.190000000000000000e+02,9.999876368344926547e-01,1.236289408024227043e-05
1.195000000000000000e+02,9.999958723678318284e-01,4.127612956983384151e-06
1.200000000000000000e+02,9.999996692810494414e-01,3.307187079748530323e-07
1.205000000000000000e+02,9.999799232891393164e-01,2.007611466714465109e-05
1.210000000000000000e+02,9.999871650665882461e-01,1.283456262357596245e-05
1.215000000000000000e+02,9.999951688319852483e-01,4.831143119998770885e-06
1.220000000000000000e+02,9.999991102804456355e-01,8.897182381950585750e-07
1.225000000000000000e+02,9.999874128705744658e-01,1.258689556338232762e-05
1.230000000000000000e+02,9.999846400153267201e-01,1.535949520337087648e-05
1.235000000000000000e+02,9.999934481249710405e-01,6.551847019142797990e-06
1.240000000000000000e+02,9.999982647139711300e-01,1.735282778581037633e-06
