T,AGF,Avg_Leakage,Unitary_Error
3.150000000000000000e+01,9.999834516925076855e-01,1.654805044543072867e-05,4.336936408544378452e-05
3.200000000000000000e+01,9.999938753951838066e-01,6.124568320248213738e-06,1.677595085114447215e-05
3.250000000000000000e+01,9.999875011847041417e-01,1.249867515340508106e-05,3.246016738001067381e-05
3.300000000000000000e+01,9.999932104960105317e-01,6.789458533246195415e-06,1.910372744029498193e-05
3.350000000000000000e+01,9.999823488971365526e-01,1.765085353688800041e-05,4.344288129520812447e-05
3.400000000000000000e+01,9.999948756830253638e-01,5.124286069552175249e-06,1.130444241304040531e-05
3.450000000000000000e+01,9.999871748652127135e-01,1.282501073460173835e-05,3.032164581173724116e-05
3.500000000000000000e+01,9.999948054077740789e-01,5.194561301380407059e-06,1.191881995699084484e-05
3.550000000000000000e+01,9.999825423642413336e-01,1.745741356373731179e-05,3.935789986186932765e-05
3.600000000000000000e+01,9.999946479392652909e-01,5.352031320682293369e-06,1.196700827732488648e-05
3.650000000000000000e+01,9.999878619862412332e-01,1.213790737322750779e-05,2.615437530184561155e-05
3.700000000000000000e+01,9.999951686791572758e-01,4.831295489837739154e-06,1.041735940099375313e-05
3.750000000000000000e+01,9.999839782227226692e-01,1.602157982638630074e-05,3.419854477548778249e-05
3.800000000000000000e+01,9.999933461542335200e-01,6.653823458380170308e-06,1.189952143798578277e-05
3.850000000000000000e+01,9.999893982870166065e-01,1.060162963151256577e-05,2.235335331546295379e-05
3.900000000000000000e+01,9.999945110427195250e-01,5.488940297976308003e-06,1.039917174305848846e-05
3.950000000000000000e+01,9.999863527851896583e-01,1.364706529086157083e-05,2.990230837562890542e-05
4.000000000000000000e+01,9.999913451976961687e-01,8.654764945853488101e-06,1.865787089316839342e-05
4.050000000000000000e+01,9.999914209380305063e-01,8.579009622089461828e-06,1.959857242783691333e-05
4.100000000000000000e+01,9.999932303856484683e-01,6.769587543226096571e-06,1.582496230789764979e-05
4.150000000000000000e+01,9.999891971747590924e-01,1.080273314485458158e-05,2.626702961561200311e-05
4.200000000000000000e+01,9.999891464956341958e-01,1.085340657774880313e-05,2.713964364187138045e-05
4.250000000000000000e+01,9.999934670159118522e-01,6.532953066601399073e-06,1.694668777107999347e-05
4.300000000000000000e+01,9.999918058396083387e-01,8.194100012154370560e-06,2.148438232785210289e-05
4.350000000000000000e+01,9.999919898034853594e-01,8.010143272618730492e-06,2.194495767060544722e-05
4.400000000000000000e+01,9.999872631612938267e-01,1.273668347670509071e-05,3.317406767266994905e-05
4.450000000000000000e+01,9.999950865351765472e-01,4.913442839898918280e-06,1.340453149634157626e-05
4.500000000000000000e+01,9.999906871763712957e-01,9.312742647260563444e-06,2.439244800855888684e-05
4.550000000000000000e+01,9.999942683845496338e-01,5.731584311080561989e-06,1.632503692838849219e-05
4.600000000000000000e+01,9.999861142014028204e-01,1.388563750093219085e-05,3.470032565977554384e-05
4.650000000000000000e+01,9.999959418008188550e-01,4.058180263194488546e-06,9.432505606254970587e-06
4.700000000000000000e+01,9.999901961174287868e-01,9.803808326297458464e-06,2.372283387752638362e-05
4.750000000000000000e+01,9.999957196049503727e-01,4.280374926307617400e-06,1.057957278904897436e-05
4.800000000000000000e+01,9.999859410617414346e-01,1.405879754723393660e-05,3.231426934413583751e-05
4.850000000000000000e+01,9.999958794814656216e-01,4.120499698612167805e-06,9.236006549340203264e-06
4.900000000000000000e+01,9.999904708535582998e-01,9.529084419535038819e-06,2.081529612962818021e-05
4.950000000000000000e+01,9.999962321136655063e-01,3.767869678067414796e-06,8.013965920872223592e-06
5.000000000000000000e+01,9.999867746098290988e-01,1.322526480648789082e-05,2.827610406408442856e-05
