theta,delta,fidelity
1.963495408493620697e-01,2.748893571891068976e+00,8.416056708576069578e-01
1.963495408493620697e-01,2.879793265790643542e+00,8.406139156088634490e-01
1.963495408493620697e-01,3.010692959690218107e+00,8.400039892881766557e-01
1.963495408493620697e-01,3.141592653589793116e+00,8.397851846890715954e-01
1.963495408493620697e-01,3.272492347489367681e+00,8.399612160358626012e-01
1.963495408493620697e-01,3.403392041388942246e+00,8.405292496819204429e-01
1.963495408493620697e-01,3.534291735288516811e+00,8.414810246385598935e-01
1.963495408493620697e-01,3.665191429188091821e+00,8.428009492179915352e-01
1.963495408493620697e-01,3.796091123087666386e+00,8.444702293982041530e-01
1.963495408493620697e-01,3.926990816987240951e+00,8.464607625297698723e-01
1.963495408493620697e-01,4.057890510886815960e+00,8.487420886667574882e-01
1.963495408493620697e-01,4.188790204786390525e+00,8.512777693220023867e-01
1.963495408493620697e-01,4.319689898685965090e+00,8.540264579575685966e-01
1.963495408493620697e-01,4.450589592585539656e+00,8.569431770695998818e-01
1.963495408493620697e-01,4.581489286485114221e+00,8.599798277431870419e-01
1.963495408493620697e-01,4.712388980384689674e+00,8.630850143258550489e-01
1.963495408493620697e-01,4.843288674284264239e+00,8.662062429530823504e-01
1.963495408493620697e-01,4.974188368183838804e+00,8.692894015662631091e-01
1.963495408493620697e-01,5.105088062083413369e+00,8.722807701560757465e-01
1.963495408493620697e-01,5.235987755982987935e+00,8.751278359213284785e-01
1.963495408493620697e-01,5.366887449882562500e+00,8.777790438816500673e-01
1.963495408493620697e-01,5.497787143782137953e+00,8.801879111229659047e-01
1.963495408493620697e-01,5.628686837681712518e+00,8.823094376960461949e-01
1.963495408493620697e-01,5.759586531581287083e+00,8.841053805752171479e-01
1.963495408493620697e-01,5.890486225480861648e+00,8.855426131026795655e-01
1.963495408493620697e-01,6.021385919380436214e+00,8.865940411574552149e-01
1.963495408493620697e-01,6.152285613280010779e+00,8.872408980763509811e-01
1.963495408493620697e-01,6.283185307179586232e+00,8.874709950894090760e-01
2.617993877991494078e-01,0.000000000000000000e+00,8.956047259973074492e-01
2.617993877991494078e-01,1.308996938995747039e-01,8.953474338061646609e-01
2.617993877991494078e-01,2.617993877991494078e-01,8.945307494940256676e-01
2.617993877991494078e-01,3.926990816987241395e-01,8.931706588873691288e-01
2.617993877991494078e-01,5.235987755982988157e-01,8.912928930577596054e-01
2.617993877991494078e-01,6.544984694978734918e-01,8.889331096639038199e-01
2.617993877991494078e-01,7.853981633974482790e-01,8.861369052764384024e-01
2.617993877991494078e-01,9.162978572970229552e-01,8.829556029223730729e-01
2.617993877991494078e-01,1.047197551196597631e+00,8.794486496921674057e-01
2.617993877991494078e-01,1.178097245096172418e+00,8.756797189329099673e-01
