epsilon,gamma_T,AGF
-9.183673469387755584e-02,5.963623316594642357e-03,9.966465388108542989e-01
-9.183673469387755584e-02,7.543120063354623143e-03,9.959494919098642596e-01
-9.183673469387755584e-02,9.540954763499944619e-03,9.949815995860117335e-01
-9.183673469387755584e-02,1.206792640639328847e-02,9.938671621789281208e-01
-9.183673469387755584e-02,1.526417967175233356e-02,9.927374842552617595e-01
-9.183673469387755584e-02,1.930697728883249559e-02,9.907840754963267438e-01
-9.183673469387755584e-02,2.442053094548649744e-02,9.885523174118453493e-01
-9.183673469387755584e-02,3.088843596477484910e-02,9.857444326678422852e-01
-9.183673469387755584e-02,3.906939937054620948e-02,9.829840072511256688e-01
-9.183673469387755584e-02,4.941713361323837872e-02,9.775422614806034138e-01
-9.183673469387755584e-02,6.250551925273975518e-02,9.715898591258165240e-01
-9.183673469387755584e-02,7.906043210907701124e-02,9.659914253140281515e-01
-9.183673469387755584e-02,1.000000000000000056e-01,9.578480182906748963e-01
-8.775510204081632404e-02,9.999999999999999547e-07,9.993748773146771125e-01
-8.775510204081632404e-02,1.264855216855295881e-06,9.993811879609048043e-01
-8.775510204081632404e-02,1.599858719606057360e-06,9.994303620532547505e-01
-8.775510204081632404e-02,2.023589647725155726e-06,9.993815074702838697e-01
-8.775510204081632404e-02,2.559547922699533382e-06,9.994088733084943721e-01
-8.775510204081632404e-02,3.237457542817646685e-06,9.993808186089723211e-01
-8.775510204081632404e-02,4.094915062380427237e-06,9.993393292318174526e-01
-8.775510204081632404e-02,5.179474679231212330e-06,9.993896489160388752e-01
-8.775510204081632404e-02,6.551285568595509496e-06,9.994210036018761345e-01
-8.775510204081632404e-02,8.286427728546842542e-06,9.993450475021566914e-01
-8.775510204081632404e-02,1.048113134154685250e-05,9.993897293640715551e-01
-8.775510204081632404e-02,1.325711365590110898e-05,9.993753730832639626e-01
-8.775510204081632404e-02,1.676832936811009972e-05,9.994130553128448557e-01
-8.775510204081632404e-02,2.120950887920192640e-05,9.994152780707795669e-01
-8.775510204081632404e-02,2.682695795279727390e-05,9.993565261444931069e-01
-8.775510204081632404e-02,3.393221771895329857e-05,9.993613212484895314e-01
-8.775510204081632404e-02,4.291934260128778017e-05,9.993773490852255748e-01
-8.775510204081632404e-02,5.428675439323859403e-05,9.993559319609434111e-01
-8.775510204081632404e-02,6.866488450042998925e-05,9.993382207691828834e-01
-8.775510204081632404e-02,8.685113737513520580e-05,9.994212482297956113e-01
-8.775510204081632404e-02,1.098541141987558346e-04,9.993322531428647792e-01
-8.775510204081632404e-02,1.389495494373137348e-04,9.993400728307247904e-01
-8.775510204081632404e-02,1.757510624854793067e-04,9.993313201806514057e-01
-8.775510204081632404e-02,2.222996482526195465e-04,9.992909789230272066e-01
-8.775510204081632404e-02,2.811768697974231118e-04,9.992350737705797403e-01
-8.775510204081632404e-02,3.556480306223128661e-04,9.992213011750641360e-01
-8.775510204081632404e-02,4.498432668969443876e-04,9.991740449662969148e-01
-8.775510204081632404e-02,5.689866029018298636e-04,9.991489081022302265e-01
-8.775510204081632404e-02,7.196856730011521675e-04,9.990583518374331895e-01
-8.775510204081632404e-02,9.102981779915217267e-04,9.989836114127501610e-01
-8.775510204081632404e-02,1.151395399326448146e-03,9.988542130827953169e-01
-8.775510204081632404e-02,1.456348477501244378e-03,9.987570176315072601e-01
-8.775510204081632404e-02,1.842069969326716331e-03,9.985829376049361050e-01
-8.775510204081632404e-02,2.329951810515372077e-03,9.983864667617011746e-01
-8.775510204081632404e-02,2.947051702551809708e-03,9.981584213954828311e-01
-8.775510204081632404e-02,3.727593720314941773e-03,9.977072496493728515e-01
-8.775510204081632404e-02,4.714866363457394238e-03,9.972923694273719830e-01
-8.775510204081632404e-02,5.963623316594642357e-03,9.966916815602314683e-01
-8.775510204081632404e-02,7.543120063354623143e-03,9.962990706017056386e-01
-8.775510204081632404e-02,9.540954763499944619e-03,9.952294022807113283e-01
-8.775510204081632404e-02,1.206792640639328847e-02,9.940249762086493801e-01
-8.775510204081632404e-02,1.526417967175233356e-02,9.923848966937783844e-01
-8.775510204081632404e-02,1.930697728883249559e-02,9.903469882891997589e-01
-8.775510204081632404e-02,2.442053094548649744e-02,9.882304364862959378e-01
-8.775510204081632404e-02,3.088843596477484910e-02,9.857444784010348515e-01
-8.775510204081632404e-02,3.906939937054620948e-02,9.823431518445636668e-01
-8.775510204081632404e-02,4.941713361323837872e-02,9.782614648604670560e-01
-8.775510204081632404e-02,6.250551925273975518e-02,9.715457419626324365e-01
-8.775510204081632404e-02,7.906043210907701124e-02,9.647730066892081791e-01
-8.775510204081632404e-02,1.000000000000000056e-01,9.591665399695252781e-01
-8.367346938775510612e-02,9.999999999999999547e-07,9.995045414080421242e-01
-8.367346938775510612e-02,1.264855216855295881e-06,9.994525352397465312e-01
