epsilon,gamma_t,AGF
-7.551020408163265640e-02,3.556480306223128661e-04,9.996782798266761194e-01
-7.551020408163265640e-02,4.498432668969443876e-04,9.995963797854716670e-01
-7.551020408163265640e-02,5.689866029018298636e-04,9.994928084412511016e-01
-7.551020408163265640e-02,7.196856730011521675e-04,9.993618322552658695e-01
-7.551020408163265640e-02,9.102981779915217267e-04,9.991962128942266652e-01
-7.551020408163265640e-02,1.151395399326448146e-03,9.989868034233480021e-01
-7.551020408163265640e-02,1.456348477501244378e-03,9.987220517203178050e-01
-7.551020408163265640e-02,1.842069969326716331e-03,9.983873623193393332e-01
-7.551020408163265640e-02,2.329951810515372077e-03,9.979643314935496834e-01
-7.551020408163265640e-02,2.947051702551809708e-03,9.974297423222613368e-01
-7.551020408163265640e-02,3.727593720314941773e-03,9.967543375843690434e-01
-7.551020408163265640e-02,4.714866363457394238e-03,9.959012775173866627e-01
-7.551020408163265640e-02,5.963623316594642357e-03,9.948242494382334433e-01
-7.551020408163265640e-02,7.543120063354623143e-03,9.934650983500936672e-01
-7.551020408163265640e-02,9.540954763499944619e-03,9.917509713078317413e-01
-7.551020408163265640e-02,1.206792640639328847e-02,9.895908220167547453e-01
-7.551020408163265640e-02,1.526417967175233356e-02,9.868712234574106290e-01
-7.551020408163265640e-02,1.930697728883249559e-02,9.834514753660412723e-01
-7.551020408163265640e-02,2.442053094548649744e-02,9.791579558921179594e-01
-7.551020408163265640e-02,3.088843596477484910e-02,9.737778613665238892e-01
-7.551020408163265640e-02,3.906939937054620948e-02,9.670526562432104623e-01
-7.551020408163265640e-02,4.941713361323837872e-02,9.586717871206797970e-01
-7.551020408163265640e-02,6.250551925273975518e-02,9.482677431542709812e-01
-7.551020408163265640e-02,7.906043210907701124e-02,9.354140827721016960e-01
-7.551020408163265640e-02,1.000000000000000056e-01,9.196290017580203147e-01
-7.142857142857142461e-02,9.999999999999999547e-07,9.999861472137222540e-01
-7.142857142857142461e-02,1.264855216855295881e-06,9.999859158268065151e-01
-7.142857142857142461e-02,1.599858719606057360e-06,9.999856260857797885e-01
-7.142857142857142461e-02,2.023589647725155726e-06,9.999852571374812094e-01
-7.142857142857142461e-02,2.559547922699533382e-06,9.999847900333075357e-01
-7.142857142857142461e-02,3.237457542817646685e-06,9.999842006267435357e-01
-7.142857142857142461e-02,4.094915062380427237e-06,9.999834544940222614e-01
