T,AGF,Avg_Leakage,Unitary_Error
198.5,0.999995332,0.000005,0.000008
199.0,0.999998826,0.000001,0.000003
199.5,0.999990875,0.000009,0.000017
200.0,0.999997294,0.000003,0.000008
200.5,0.999996740,0.000003,0.000005
201.0,0.999998574,0.000001,0.000003
201.5,0.999993546,0.000006,0.000011
202.0,0.999996512,0.000003,0.000008
202.5,0.999998171,0.000002,0.000004
203.0,0.999998005,0.000002,0.000003
203.5,0.999996267,0.000004,0.000008
204.0,0.999994956,0.000005,0.000008
204.5,0.999998963,0.000001,0.000003
205.0,0.999997009,0.000003,0.000004
205.5,0.999998164,0.000002,0.000005
206.0,0.999992784,0.000007,0.000010
206.5,0.999998946,0.000001,0.000003
207.0,0.999995870,0.000004,0.000006
207.5,0.999999003,0.000001,0.000003
208.0,0.999990772,0.000009,0.000015
208.5,0.999998458,0.000002,0.000004
209.0,0.999995168,0.000005,0.000008
209.5,0.999999119,0.000001,0.000002
210.0,0.999989885,0.000010,0.000018
210.5,0.999997966,0.000002,0.000006
211.0,0.999995368,0.000005,0.000008
211.5,0.999998987,0.000001,0.000003
212.0,0.999990653,0.000009,0.000017
212.5,0.999997616,0.000002,0.000007
213.0,0.999996437,0.000004,0.000006
213.5,0.999998808,0.000001,0.000003
214.0,0.999992812,0.000007,0.000013
214.5,0.999997102,0.000003,0.000007
215.0,0.999997826,0.000002,0.000004
215.5,0.999998438,0.000002,0.000003
216.0,0.999995463,0.000005,0.000009
216.5,0.999995971,0.000004,0.000007
217.0,0.999998839,0.000001,0.000003
217.5,0.999997681,0.000002,0.000003
218.0,0.999997637,0.000002,0.000006
218.5,0.999994120,0.000006,0.000008
219.0,0.999999100,0.000001,0.000002
219.5,0.999996634,0.000003,0.000005
220.0,0.999998839,0.000001,0.000003
220.5,0.999992052,0.000008,0.000012
221.0,0.999998755,0.000001,0.000003
221.5,0.999995750,0.000004,0.000007
222.0,0.999999185,0.000001,0.000002
222.5,0.999990668,0.000009,0.000016
223.0,0.999998247,0.000002,0.000005
223.5,0.999995554,0.000004,0.000008
224.0,0.999999122,0.000001,0.000002
224.5,0.999990707,0.000009,0.000017
225.0,0.999997874,0.000002,0.000006
225.5,0.999996240,0.000004,0.000007
226.0,0.999998977,0.000001,0.000003
226.5,0.999992251,0.000008,0.000014
227.0,0.999997512,0.000002,0.000007
227.5,0.999997477,0.000003,0.000004
228.0,0.999998739,0.000001,0.000003
228.5,0.999994662,0.000005,0.000009
229.0,0.999996738,0.000003,0.000007
229.5,0.999998618,0.000001,0.000003
230.0,0.999998205,0.000002,0.000003
230.5,0.999996992,0.000003,0.000007
231.0,0.999995261,0.000005,0.000007
231.5,0.999999148,0.000001,0.000002
232.0,0.999997317,0.000003,0.000004
232.5,0.999998537,0.000001,0.000004
233.0,0.999993309,0.000007,0.000009
233.5,0.999999002,0.000001,0.000003
234.0,0.999996371,0.000004,0.000006
234.5,0.999999171,0.000001,0.000002
235.0,0.999991619,0.000008,0.000014
235.5,0.999998527,0.000001,0.000004
236.0,0.999995873,0.000004,0.000007
236.5,0.999999230,0.000001,0.000002
237.0,0.999991025,0.000009,0.000016
237.5,0.999998109,0.000002,0.000006
238.0,0.999996174,0.000004,0.000007
238.5,0.999999112,0.000001,0.000003
239.0,0.999991908,0.000008,0.000015
239.5,0.999997805,0.000002,0.000006
240.0,0.999997167,0.000003,0.000005
240.5,0.999998948,0.000001,0.000003
241.0,0.999993933,0.000006,0.000011
241.5,0.999997295,0.000003,0.000007
242.0,0.999998332,0.000002,0.000003
242.5,0.999998592,0.000001,0.000003
243.0,0.999996271,0.000004,0.000007
243.5,0.999996191,0.000004,0.000007
244.0,0.999999085,0.000001,0.000002
244.5,0.999997896,0.000002,0.000003
245.0,0.999998099,0.000002,0.000005
245.5,0.999994475,0.000006,0.000007
246.0,0.999999176,0.000001,0.000002
246.5,0.999996990,0.000003,0.000004
247.0,0.999999052,0.000001,0.000003
247.5,0.999992666,0.000007,0.000012
