T,AGF,Avg_Leakage,Unitary_Error
4.450000000000000000e+01,9.999950802301553754e-01,4.919747818576958309e-06,1.342604550014225850e-05
4.500000000000000000e+01,9.999906702376992751e-01,9.329681031178260753e-06,2.443562322596015690e-05
4.550000000000000000e+01,9.999942742026691755e-01,5.725766254793818177e-06,1.630502153315838143e-05
4.600000000000000000e+01,9.999861336742068563e-01,1.386616514714722470e-05,3.465286912929244068e-05
4.650000000000000000e+01,9.999959406148880570e-01,4.059366194991698151e-06,9.445103111738184509e-06
4.700000000000000000e+01,9.999901788037861561e-01,9.821121709635560748e-06,2.376528146919021367e-05
4.750000000000000000e+01,9.999957216646212510e-01,4.278315260147769195e-06,1.056617640959878202e-05
4.800000000000000000e+01,9.999859604461380780e-01,1.403941354760629423e-05,3.226849215387517233e-05
4.850000000000000000e+01,9.999958822918874057e-01,4.117689287236325768e-06,9.225589470140960202e-06
4.900000000000000000e+01,9.999904543842822457e-01,9.545553472045664734e-06,2.085248849770238166e-05
4.950000000000000000e+01,9.999962297107855003e-01,3.770272549913356031e-06,8.023806028489843811e-06
5.000000000000000000e+01,9.999867928130214967e-01,1.320706199001153713e-05,2.823543079033541403e-05
5.050000000000000000e+01,9.999949575714452976e-01,5.042413513678400960e-06,1.005960831235164221e-05
5.100000000000000000e+01,9.999914336503386014e-01,8.566298689838269809e-06,1.772407120914643031e-05
5.150000000000000000e+01,9.999958932031625114e-01,4.106785261442924551e-06,7.914875967518497646e-06
5.200000000000000000e+01,9.999884551090325591e-01,1.154478874648701137e-05,2.455252679312014408e-05
5.250000000000000000e+01,9.999934037036120049e-01,6.596278185999615573e-06,1.305303515342082221e-05
5.300000000000000000e+01,9.999928819401361357e-01,7.118025333624489193e-06,1.543934452041817451e-05
5.350000000000000000e+01,9.999949720899883321e-01,5.027897657772228968e-06,1.084670063478121449e-05
5.400000000000000000e+01,9.999906188119156436e-01,9.381120500778772353e-06,2.164851280916924026e-05
5.450000000000000000e+01,9.999915850931018202e-01,8.414855630772821726e-06,2.001671064733034910e-05
5.500000000000000000e+01,9.999944591306844099e-01,5.540848785873242477e-06,1.360495232205494176e-05
5.550000000000000000e+01,9.999938216187483908e-01,6.178350535457344250e-06,1.562261359144834216e-05
5.600000000000000000e+01,9.999928806000697445e-01,7.119360315471778833e-06,1.861825171189934736e-05
5.650000000000000000e+01,9.999899084677956740e-01,1.009143535618539644e-05,2.593859543620347097e-05
5.700000000000000000e+01,9.999958022986362716e-01,4.197686838680603216e-06,1.128132302175011148e-05
5.750000000000000000e+01,9.999928074425458169e-01,7.192507907261003197e-06,1.889399322840823459e-05
